description,category
mall shopping expense,Shopping
medical bill,Health
daily groceries 4161,Groceries
doctor consultation payment,Health
tour booking,Travel
health checkup,Health
spotify premium payment,Entertainment
pharmacy,Health
hotel booking transaction,Travel
train ticket payment,Transport
uber ride payment,Transport
hospital visit 3055,Health
uber ride payment,Transport
milk purchase payment,Groceries
milk purchase payment,Groceries
cashback received expense,Income
breakfast 376,Food
street food,Food
metro ticket,Transport
mobile recharge payment,Utilities
pharmacy,Health
tea expense,Food
diesel,Transport
vegetable market,Groceries
train ticket expense,Transport
milk purchase transaction,Groceries
refund received expense,Income
bonus received 3682,Income
salary credited expense,Income
amazon order transaction,Shopping
spotify premium,Entertainment
pharmacy transaction,Health
ration store 2678,Groceries
medicine purchase,Health
ration store expense,Groceries
gas bill 3414,Utilities
mobile recharge expense,Utilities
grocery shopping,Groceries
game purchase 1270,Entertainment
supermarket,Groceries
milk purchase 2088,Groceries
hospital visit,Health
game purchase 864,Entertainment
online shopping,Shopping
flipkart order transaction,Shopping
medical bill,Health
mobile recharge expense,Utilities
cinema transaction,Entertainment
tea transaction,Food
movie ticket payment,Entertainment
gas station transaction,Transport
supermarket,Groceries
spotify premium 1784,Entertainment
amazon order,Shopping
doctor consultation,Health
cinema transaction,Entertainment
freelance payment,Income
netflix subscription expense,Entertainment
hotel booking transaction,Travel
food delivery expense,Food
trip expense payment,Travel
resort stay transaction,Travel
movie ticket transaction,Entertainment
hospital visit 1096,Health
electricity bill expense,Utilities
ola cab transaction,Transport
tour booking,Travel
auto rickshaw,Transport
pharmacy expense,Health
bonus received 4729,Income
burger payment,Food
cashback received transaction,Income
tour booking 3907,Travel
daily groceries,Groceries
ration store,Groceries
electricity bill expense,Utilities
mall shopping,Shopping
gas bill transaction,Utilities
refund received,Income
shopping expense,Shopping
fuel refill transaction,Transport
resort stay transaction,Travel
breakfast expense,Food
uber ride expense,Transport
uber ride transaction,Transport
hotel booking 1553,Travel
shopping expense,Shopping
vacation travel,Travel
concert ticket 719,Entertainment
online shopping expense,Shopping
internet bill transaction,Utilities
flight ticket transaction,Travel
supermarket,Groceries
vegetable market expense,Groceries
online shopping expense,Shopping
salary credited expense,Income
refund received,Income
interest income transaction,Income
flipkart order expense,Shopping
gas bill transaction,Utilities
electricity bill expense,Utilities
hospital visit,Health
health checkup 3398,Health
water bill transaction,Utilities
amazon order transaction,Shopping
salary credited,Income
game purchase expense,Entertainment
daily groceries,Groceries
freelance payment,Income
refund received 983,Income
hospital visit 3423,Health
auto rickshaw,Transport
wifi payment transaction,Utilities
salary credited,Income
hospital visit,Health
doctor consultation,Health
health checkup 4028,Health
new shoes,Shopping
mobile recharge transaction,Utilities
internet bill 3468,Utilities
hospital visit expense,Health
online shopping payment,Shopping
new shoes 1385,Shopping
electronics purchase,Shopping
vacation travel expense,Travel
auto rickshaw,Transport
taxi fare payment,Transport
movie ticket transaction,Entertainment
supermarket,Groceries
game purchase,Entertainment
gas station,Transport
hospital visit transaction,Health
game purchase transaction,Entertainment
movie ticket,Entertainment
bonus received expense,Income
new shoes payment,Shopping
vacation travel 2206,Travel
pharmacy 310,Health
auto rickshaw payment,Transport
burger,Food
burger payment,Food
ration store,Groceries
taxi fare,Transport
daily groceries transaction,Groceries
spotify premium expense,Entertainment
